time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449100000	19.0781	16.7371	4.56688	2.12353	0.548017	lidar	1.11591	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.9234	16.9364	4.52071	2.17225	0.575428	radar	9.54962	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7228	17.214	4.82767	2.20998	0.583947	lidar	2.82661	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.6136	17.4102	4.84639	2.2166	0.556296	radar	5.02731	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3824	17.6286	5.02744	2.26319	0.571766	lidar	4.68133	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2399	17.8186	5.02268	2.27937	0.555702	radar	2.35135	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1036	18.0022	4.96506	2.30028	0.550144	lidar	0.712979	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9483	18.1391	4.82887	2.33661	0.560587	radar	3.77817	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8215	18.2715	4.67332	2.36107	0.557383	lidar	0.6586	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.7163	18.4196	4.53553	2.37383	0.542616	radar	9.83318	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4914	18.6285	4.75195	2.40447	0.5458	lidar	1.22403	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3383	18.7465	4.62573	2.43527	0.549573	radar	3.7276	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1656	18.8902	4.60819	2.46241	0.549277	lidar	0.00882963	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9846	19.0701	4.67519	2.47926	0.538523	radar	4.01065	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7542	19.1977	4.73696	2.51809	0.54782	lidar	2.83957	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5352	19.3764	4.86777	2.54082	0.54441	radar	5.52981	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.292	19.5489	5.01768	2.567	0.54359	lidar	0.576349	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.1024	19.6099	4.85556	2.60966	0.558245	radar	14.614	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8851	19.7599	4.91834	2.63154	0.553512	lidar	0.744051	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7254	19.8568	4.70824	2.6481	0.537806	radar	5.92669	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4673	20.0257	4.90959	2.66754	0.531677	lidar	1.65685	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2082	20.2012	5.07183	2.67973	0.516748	radar	12.3295	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.033	20.3158	4.95826	2.69702	0.510371	lidar	2.35608	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8075	20.3994	4.93195	2.72808	0.514921	radar	2.0331	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.5949	20.5115	4.92013	2.74784	0.5103	lidar	0.763245	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3317	20.6205	5.04416	2.77448	0.512674	radar	2.27257	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.0938	20.6875	5.02222	2.80583	0.517201	lidar	0.569186	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8473	20.7677	5.06493	2.83409	0.520807	radar	0.20756	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5736	20.8305	5.12819	2.86609	0.525199	lidar	1.17843	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3333	20.8618	5.15335	2.90681	0.542594	radar	3.94552	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0985	20.8978	5.0933	2.93844	0.546412	lidar	0.280586	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8703	20.9526	5.04434	2.96231	0.543873	radar	2.00072	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6959	20.9847	4.8556	2.98797	0.543857	lidar	2.19141	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.3982	21.0493	5.04423	3.01012	0.539982	radar	6.87046	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1638	21.0802	5.0061	3.03618	0.539508	lidar	0.150766	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9315	21.0969	4.9983	3.06609	0.544025	radar	1.6717	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
